frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
16,53,609.7449832617028,848.9910555395151,73,260,1660,4864,2021-06-08 09:25:20,49.030026407046364,13.095803696638189,2,0.0,470.0
17,56,609.6255697843104,846.5167842441291,32,260,1784,5120,2021-06-08 09:29:36,49.02927661081304,13.072181250637032,2,256.0,470.0
18,56,609.5088290001866,848.7728084605161,98,260,1899,5376,2021-06-08 09:33:52,49.02854359639857,13.093720040796496,2,512.0,470.0
19,61,609.4153735678594,846.4724007782198,32,260,2025,5760,2021-06-08 09:40:16,49.02795679051474,13.071757511320838,2,896.0,470.0
20,58,602.7241882920458,854.5299208716617,136,260,2143,6016,2021-06-08 09:44:32,48.985926582782746,13.148685996787144,2,0.0,590.0
21,72,602.3023644188335,851.8083886169609,215,260,2272,6272,2021-06-08 09:48:48,48.98327634505394,13.122702387279888,2,256.0,590.0
22,75,602.6399966086643,850.9488235688611,227,260,2408,6656,2021-06-08 09:55:12,48.98539762273586,13.11449591898715,2,640.0,590.0
23,72,603.8152466953236,849.9615546974862,267,260,2552,6912,2021-06-08 09:59:28,48.992781491497794,13.10507019580005,2,896.0,590.0
24,73,604.1743765525324,849.6566564299973,222,260,2700,7168,2021-06-08 10:03:44,48.99503783486183,13.102158970048077,2,1152.0,590.0
25,87,605.191383802464,850.18319306037,189,260,2857,7552,2021-06-08 10:10:08,49.001427494516975,13.107186265685428,2,1536.0,590.0
26,92,605.3065203284963,851.1358507598052,228,260,3025,7808,2021-06-08 10:14:24,49.002150875019204,13.116281511265191,2,1792.0,590.0
27,99,606.1397962948663,851.8367980655711,221,260,3205,8064,2021-06-08 10:18:40,49.0073856533102,13.122973618921693,2,2048.0,590.0
28,101,607.3435092472978,852.2931265926537,261,260,3377,8448,2021-06-08 10:25:04,49.01494506733055,13.127330293959671,2,2432.0,590.0
29,96,607.4768095147977,852.6891491740301,238,260,3549,8704,2021-06-08 10:29:20,49.01578256710385,13.131111214047637,2,2688.0,590.0
30,104,608.1335063338249,852.7249888428356,204,260,3728,8960,2021-06-08 10:33:36,49.01990795679274,13.131453383737208,2,2944.0,590.0
31,94,607.7917197724242,853.0386852619026,198,260,3907,9344,2021-06-08 10:40:00,49.01776108728478,13.134448316723734,2,3328.0,590.0
32,94,606.138368520075,852.9040375542718,189,260,4080,9600,2021-06-08 10:44:16,49.00737668832414,13.133162803607764,2,3584.0,590.0
33,93,591.2907147422313,847.1273945461021,476,260,4258,9856,2021-06-08 10:48:32,48.91402694444535,13.078010889817264,2,,
34,88,580.5183921941056,841.546468196242,345,260,4436,10240,2021-06-08 10:54:56,48.8461890560328,13.024727528679445,2,0.0,1136.0
35,100,581.6880140424958,841.7004090121222,526,260,4628,10496,2021-06-08 10:59:12,48.85355987242967,13.026197237606388,2,256.0,1136.0
36,95,581.8133545277427,842.2436242202916,653,260,4820,10880,2021-06-08 11:05:36,48.854349753112146,13.031383440083827,2,640.0,1136.0
37,105,583.154386309817,842.5980937012105,876,260,5029,11136,2021-06-08 11:09:52,48.862796959624546,13.034767643015687,2,896.0,1136.0
38,107,582.3072434758675,841.9136319639259,1174,260,5244,11392,2021-06-08 11:14:08,48.85746100989783,13.028232926932203,2,1152.0,1136.0
39,116,582.1342824439521,844.1127617656592,1511,260,5468,11776,2021-06-08 11:20:32,48.85637169004427,13.0492294864998,2,1536.0,1136.0
40,116,583.8139154693563,845.9678220246019,1598,260,5695,12032,2021-06-08 11:24:48,48.86695323316718,13.066940180099763,2,1792.0,1136.0
