frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
2,67,582.50707803602,295.00027989191864,18,250,290,640,2021-06-04 01:14:40,5412437.04681701,412467.6434063541,1,0.0,158.0
3,77,582.5575932559112,299.3868237830398,32,250,400,896,2021-06-04 01:18:56,5412425.06776254,415539.97949847655,1,256.0,158.0
4,76,583.8145730060781,301.49390175502344,136,250,505,1280,2021-06-04 01:25:20,5413283.273120832,417028.608243316,1,640.0,158.0
5,75,585.433248428316,303.6965693465135,200,250,616,1536,2021-06-04 01:29:36,5414393.848282918,418587.37312619924,1,896.0,158.0
6,74,587.5330119583961,304.5986260532524,261,250,729,1792,2021-06-04 01:33:52,5415854.273459916,419240.12216151104,1,1152.0,158.0
7,79,588.1484032920533,305.7610650450716,307,250,838,2176,2021-06-04 01:40:16,5416273.315281158,420059.8026402313,1,1536.0,158.0
8,74,588.9280691934717,307.78825806368013,350,250,940,2432,2021-06-04 01:44:32,5416798.657514259,421486.0914926501,1,1792.0,158.0
9,80,590.6732354061028,310.12554850904496,483,250,1053,2688,2021-06-04 01:48:48,5417996.900668592,423138.3806559848,1,2048.0,158.0
10,89,591.9908302477436,312.71508521416433,485,250,1175,3072,2021-06-04 01:55:12,5418894.086277437,424962.3454430317,1,2432.0,158.0
11,91,594.0803225386533,314.75471365159694,601,250,1311,3328,2021-06-04 01:59:28,5420336.133706829,426408.28242016595,1,2688.0,158.0
12,88,594.7124205401427,317.32275555698965,567,250,1439,3584,2021-06-04 02:03:44,5420754.677460536,428209.71165816084,1,2944.0,158.0
13,90,595.1568337806093,319.63954916036136,631,250,1566,3968,2021-06-04 02:10:08,5421044.7739653215,429833.5696806719,1,3328.0,158.0
14,72,595.3840369488989,322.51772698241814,635,250,1676,4224,2021-06-04 02:14:24,5421178.636262324,431847.81475586665,1,3584.0,158.0
15,87,595.5981925515828,324.06647168074767,558,250,1796,4480,2021-06-04 02:18:40,5421315.228267182,432932.4758638557,1,3840.0,158.0
16,83,595.2504973818627,327.38917176551377,564,250,1918,4864,2021-06-04 02:25:04,5421044.58265588,435252.61187848746,1,4224.0,158.0
17,81,595.1026843422566,330.1118571444621,289,250,2044,5120,2021-06-04 02:29:20,5420919.39740954,437155.0826337957,1,4480.0,158.0
18,86,598.8557622667051,334.7301205053387,121,250,2178,5376,2021-06-04 02:33:36,5423507.464810087,440412.1930992653,1,4736.0,158.0
19,94,598.8616060823675,336.20382419351614,67,250,2323,5760,2021-06-04 02:40:00,5423500.606497785,441442.11304285587,1,5120.0,158.0
20,86,598.928415867137,337.4738150701608,81,250,2448,6016,2021-06-04 02:44:16,5423538.019268859,442330.112186098,1,5376.0,158.0
21,92,598.9990246727737,340.0827853378539,21,250,2571,6272,2021-06-04 02:48:32,5423568.750325662,444153.9047701749,1,5632.0,158.0
22,88,620.3973489704945,328.8836630526261,118,250,2696,6656,2021-06-04 02:54:56,5438587.678680288,436498.7685774377,1,0.0,893.0
23,92,623.7401865250368,333.0238500888116,269,250,2829,6912,2021-06-04 02:59:12,5440884.649102581,439409.77231410163,1,256.0,893.0
24,81,625.4378488428863,340.50692323321834,456,250,2951,7296,2021-06-04 03:05:36,5442012.810328551,444634.845054441,1,640.0,893.0
25,78,634.097553331456,347.6412389449623,1118,250,3060,7552,2021-06-04 03:09:52,5447993.70635047,449658.97497749556,1,896.0,893.0
26,72,638.5340663373598,352.39072193113486,1280,250,3169,7808,2021-06-04 03:14:08,5451050.850411561,452989.7898377249,1,1152.0,893.0
27,79,640.4062930107854,355.6158329166023,1392,250,3281,8192,2021-06-04 03:20:32,5452333.853486965,455243.0330191725,1,1536.0,893.0
28,88,641.8138181560021,357.6625532363913,1370,250,3406,8448,2021-06-04 03:24:48,5453301.043191968,456673.59441624495,1,1792.0,893.0
29,89,643.1021958215983,359.699915732196,1624,250,3541,8704,2021-06-04 03:29:04,5454185.5854350915,458096.5652584159,1,2048.0,893.0
30,93,645.5881855661453,361.4116441746303,1401,250,3681,9088,2021-06-04 03:35:28,5455904.154277175,459298.9377289664,1,2432.0,893.0
31,85,647.8566915921532,363.5806500588264,1357,250,3818,9344,2021-06-04 03:39:44,5457469.185978327,460817.05534006533,1,2688.0,893.0
32,77,649.1508309968236,365.5990680081218,1208,250,3941,9600,2021-06-04 03:44:00,5458358.27720497,462225.1712836516,1,2944.0,893.0
33,91,650.2153268238214,370.2927170692442,1124,250,4075,9984,2021-06-04 03:50:24,5459075.93689963,465489.27614502935,1,3328.0,893.0
34,99,652.3458853980784,376.9077538257711,934,250,4218,10240,2021-06-04 03:54:40,5460528.43487093,470090.4443865775,1,3584.0,893.0
