frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
12,45,813.2420434254152,702.2735862369145,39,260,3829,3584,2021-07-13 13:05:04,50.29119963704821,11.695031043832541,1,,
13,36,824.623354737779,701.0554470638499,204,260,4139,3840,2021-07-13 13:09:20,50.360767329922425,11.683401184612466,1,,
14,272,838.802586797077,698.6242097446429,25,240,4611,4096,2021-07-13 13:13:36,50.44729054909412,11.660189235652318,1,,
15,358,847.9777534957502,698.8690713178706,45,230,5005,4480,2021-07-13 13:20:00,50.50319478828131,11.662527219805261,1,0.0,2839.0
16,342,855.3835124500443,695.4261872092043,161,230,5309,4736,2021-07-13 13:24:16,50.54827004378441,11.629656372214646,1,256.0,2839.0
17,339,863.634054850849,691.7542529180621,422,230,5611,4992,2021-07-13 13:28:32,50.59843463660203,11.594598604166718,1,0.0,3171.0
18,309,867.4217363812058,689.4997918769321,738,230,5885,5376,2021-07-13 13:34:56,50.62144785329918,11.57307473800656,1,384.0,3171.0
19,376,839.7597060648576,705.9875371963312,85,220,6226,5632,2021-07-13 13:39:12,50.4531250392595,11.730489954826805,1,256.0,3328.0
20,365,843.6242748718297,705.5061609336639,257,220,6516,6016,2021-07-13 13:45:36,50.476676814919706,11.72589414320651,1,640.0,3328.0
21,372,847.298587353845,711.7115678710787,153,220,6813,6272,2021-07-13 13:49:52,50.499059850375126,11.785139566380852,1,896.0,3328.0
22,373,848.8391723862285,714.5203505507264,75,220,7110,6528,2021-07-13 13:54:08,50.508439327729874,11.811956624377558,1,1152.0,3328.0
23,372,848.4705658882069,710.8639527056206,148,220,7411,6912,2021-07-13 14:00:32,50.506195156698524,11.777047186408966,1,1536.0,3328.0
24,374,848.4300734845244,709.6111740019079,125,220,7716,7168,2021-07-13 14:04:48,50.505948628545,11.765086615498639,1,1792.0,3328.0
25,344,849.2063502862648,712.4713228297135,260,220,7987,7424,2021-07-13 14:09:04,50.51067480108978,11.792393124435675,1,2048.0,3328.0
26,351,848.6307211947949,713.2331215187954,488,220,8267,7808,2021-07-13 14:15:28,50.50717022333867,11.799666416784458,1,2432.0,3328.0
27,338,854.4130962626505,707.1512066047388,713,220,8541,8064,2021-07-13 14:19:44,50.54236560264178,11.741599778480568,1,2688.0,3328.0
